,nla,original,original minus nla,original minus nla normed
399,0.0352564090506347,0.039476157326164184,0.0042197482755294835,0.10689359252129385
63,0.03490914957553156,0.237874846762015,0.20296569718648344,0.8532457296316963
373,0.03478001752763191,0.12551118770749706,0.09073117017986515,0.7228930889516678
195,0.03373835349948748,0.23080381539186257,0.1970654618923751,0.8538223753268293
183,0.033237665364709255,0.033237665364709255,0.0,0.0
314,0.0331868168846613,0.0331868168846613,0.0,0.0
102,0.0327151175326396,0.0848271495958319,0.0521120320631923,0.614331995257246
32,0.03144089790971876,0.13808961610279644,0.10664871819307767,0.7723152631091856
498,0.030411684033480473,0.27821736322150237,0.2478056791880219,0.8906909199291482
542,0.030297179777400804,0.3242541264716187,0.2939569466942179,0.9065634719684819
549,0.03024258756120311,0.3218279745906644,0.2915853870294613,0.9060287173616001
16,0.030182730491125284,0.04853513488203859,0.018352404390913304,0.37812616438622454
132,0.03015233718334854,0.04354286517809013,0.013390527994741594,0.30752519247354054
348,0.03011056595700234,0.1777182399048923,0.14760767394788996,0.8305713247378754
319,0.02910502995723594,0.02910502995723594,0.0,0.0
281,0.028827776776284095,0.09843144559412723,0.06960366881784313,0.7071283815626085
344,0.028474788545123142,0.028474788545123142,0.0,0.0
236,0.02834111183290619,0.10879091659291044,0.08044980476000425,0.7394900905288163
265,0.02761363335533091,0.035383147057799415,0.007769513702468506,0.21958232516109366
169,0.026474653741605247,0.04427050444969456,0.017795850708089315,0.401979849321823
524,0.026195554433725624,0.2430113934955031,0.21681583906177748,0.8922044186615046
3,0.025776142360592,0.1422288807520518,0.11645273839145981,0.8187699838155399
411,0.02504941123034619,0.06459098822441207,0.03954157699406588,0.6121841154788401
219,0.024912259186241816,0.024912259186241827,1.0408340855860843e-17,4.1779995856855116e-16
151,0.02353364943511945,0.27977718589224515,0.2562435364571257,0.9158843157276473
242,0.022084669060094934,0.10646593331750481,0.08438126425740988,0.7925658624131572
504,0.021392762787068108,0.35695847963557115,0.33556571684850306,0.9400693245642783
70,0.02100498593384111,0.02100498593384111,0.0,0.0
457,0.019846928699883765,0.019846928699883765,0.0,0.0
240,0.01951435088744038,0.01951435088744038,0.0,0.0
38,0.01903453346879777,0.2008459925728164,0.18181145910401864,0.9052282137922327
440,0.01897238555550762,0.1567170280228657,0.13774464246735807,0.8789385825212339
597,0.01872947760774355,0.2424776112815199,0.22374813367377636,0.9227579094467474
125,0.01855497896055849,0.26785993641930367,0.24930495745874517,0.9307288009972763
264,0.01836888325534526,0.21058481175252675,0.1922159284971815,0.912772041333485
293,0.018235360306402985,0.01817920786290514,-5.615244349784637e-05,-0.0030888278477978134
488,0.018071345729023056,0.030692810069661992,0.012621464340638936,0.4112189243015744
51,0.01781724292596611,0.03130031996931571,0.013483077043349601,0.43076483104860636
245,0.017785363802437566,0.02126800239370792,0.0034826385912703553,0.16375015042788804
120,0.01773897322588598,0.02493901415966099,0.00720004093377501,0.28870591626757725
475,0.017538895775788526,0.028292634245390937,0.010753738469602411,0.3800896861116518
138,0.0168926066640883,0.047756008385795044,0.030863401721706745,0.6462726422270882
483,0.01684194171252127,0.08158184216125224,0.06473990044873096,0.7935577174240317
117,0.016539546675046694,0.016539546675046694,0.0,0.0
375,0.01581737289553723,0.22199069904803445,0.20617332615249723,0.9287475873387171
357,0.015622498751313808,0.015622498751313812,3.469446951953614e-18,2.2208015549765e-16
197,0.01555522160792761,0.018432031132579713,0.0028768095246521023,0.1560766420129993
27,0.014596115837142265,0.09456829099358831,0.07997217515644604,0.8456552858914212
207,0.014541129152995219,0.08521278766407668,0.07067165851108147,0.8293550821231337
389,0.01451691100388365,0.051344185950421777,0.036827274946538126,0.7172628071676653
